conm,gvkey
IRADIMED CORP,20945
IRHYTHM TECHNOLOGIES INC,28367
IRIDEX CORP,62168
IRIDIUM COMMUNICATIONS INC,183640
IROBOT CORP,164416
IRON MOUNTAIN INC,62374
IRONCLAD ENCRYPTION CORP,32721
IRONNET INC,39535
IRONWOOD PHARMACEUTICALS INC,184256
ISABELLA BANK CORP,157307
ISATORI INC,171057
ISIGN SOLUTIONS INC,24475
ISLE OF CAPRI CASINOS INC,25314
ISOPLEXIS CORP,39307
ISPECIMEN INC,37671
ISRAMCO INC,6194
ISSUER DIRECT CORP,183139
ISTAR INC,15142
ISUN INC,35367
IT TECH PACKAGING INC,176867
ITC HOLDINGS CORP,163669
ITEM 9 LABS CORP,193157
ITEOS THERAPEUTICS INC,36679
ITERIS INC,8087
ITEX CORP,25540
ITRON INC,29133
ITT EDUCATIONAL SERVICES INC,31224
ITT INC,5860
IVANHOE ELECTRIC INC,41293
IVEDA SOLUTIONS INC,178882
IVERIC BIO INC,18572
IXIA,140759
IXYS CORP,114370
IZEA WORLDWIDE INC,187357
J & J SNACK FOODS CORP,12825
J CREW GROUP INC,116104
J JILL INC,30435
J. ALEXANDER'S HOLDINGS INC,11538
J.G. WENTWORTH CO,166746
JABIL INC,28195
JACK IN THE BOX INC,13092
JACKSON FINANCIAL INC,39561
JACKSONVILLE BANCORP INC/FL,123720
JACKSONVILLE BANCORP INC/MD,31744
JACOBS SOLUTIONS INC,6216
JAGGED PEAK ENERGY INC,29565
JAGUAR ANIMAL HEALTH INC-OLD,21619
JAGUAR HEALTH INC,32316
JAKKS PACIFIC INC,62745
JAMBA INC,164255
JAMF HOLDING CORP,36717
JAMMIN JAVA CORP,176554
JANEL CORP,147249
JANONE INC,24660
JANUS CAPITAL GROUP INC,137232
JANUS INTERNATIONL GROUP INC,38961
JANUX THERAPEUTICS INC,38857
JARDEN CORP,27980
JASON INDUSTRIES INC,18479
JAZZ TECHNOLOGIES INC,166303
JBG SMITH PPTYS,32154
JD BANCSHARES INC,125375
JEFFERIES FINANCIAL GRP INC,6682
JEFFERIES GROUP LLC,6239
JEFFERSONVILLE BANCORP,64784
JELD-WEN HOLDING INC,27386
JERASH HOLDINGS (US),33476
JERNIGAN CAPITAL INC,23150
JERSEY CENTRAL POWER & LIGHT,6253
JETBLUE AIRWAYS CORP,147305
JETPAY CORP,186158
JINZISHENG HOLDING GROUP,182728
JIVE SOFTWARE INC,187969
JMP GROUP LLC,177255
JOANN INC,38081
JOE'S JEANS INC,23062
JOEY NEW YORK INC,18734
JOHN BEAN TECHNOLOGIES,180466
JOHN MARSHALL BANCORP INC,186890
JOHNSON & JOHNSON,6266
JOHNSON OUTDOORS INC  -CL A,13906
JOINT CORP (THE),22082
JONES ENERGY INC,18109
JONES FINANCIAL COS  -LP,14107
JONES LANG LASALLE INC,65108
JONES SODA CO,108693
JOUNCE THERAPEUTICS INC,29684
JOURNAL COMMUNICATIONS INC,12478
JOURNAL MEDIA GROUP INC,23354
JOURNEY MEDICAL CORPO,39941
JOY GLOBAL INC,13003
JP ENERGY PARTNERS LP,20537
JPMORGAN CHASE & CO,2968
JRJR33 INC,14864
JUHL ENERGY INC,179177
JUNIATA VALLEY FINANCIAL CP,31385
JUNIPER NETWORKS INC,121718
JUNIPER PHARMACEUTICALS INC,14597
JUNO THERAPEUTICS INC,22230
JUPITER WELLNESS INC,36632
K2M GROUP HOLDINGS INC,20003
KAANAPALI LAND LLC,182497
KADANT INC,25922
KADMON HOLDINGS INC,27476
KAISER ALUMINUM CORP,24293
KAIVAL BRANDS INNV GROUP INC,164146
KALA PHARMECUTICAL INC,32018
KALEIDO BIOSCIENCES INC,34640
KALEYRA INC,35909
KALTURA INC,38491
KALVISTA PHARMACEUTICALS,29251
KAMAN CORP,6326
KANDI TECHNOLOGIES GROUP,176169
KANSAS CITY LIFE INS CO,6333
KANSAS CITY POWER & LIGHT CO,156654
KANSAS CITY SOUTHERN,6335
KAOPU GROUP INC,23434
KAPSTONE PAPER & PACKAGING,164680
KAR AUCTION SERVICES INC,183581
KARAT PACKAGING INC,35674
KARUNA THERPEUTICS INC,35290
KARYOPHARM THERAPEUTICS INC,18930
KASPIEN HOLDINGS INC,12421
KATAHDIN BANKSHARES CORP,124597
KATAPULT HOLDINGS INC,38978
KATE SPADE & CO,6768
KATY INDUSTRIES INC,6349
KAYNE ANDERSON ENERGY DEV CO,175575
KB HOME,12689
KBR INC,174310
KBS REAL ESTATE INVESTMENT,19931
KBS REIT II INC,180162
KCG HOLDINGS INC,18246
KEARNY FINANCIAL CORP,161853
KELLOGG CO,6375
KELLY SERVICES INC  -CL A,6379
KEMET CORP,25848
KEMPER CORP/DE,21503
KEMPHARM INC,23339
KENNAMETAL INC,6386
KENNEDY-WILSON HOLDINGS INC,25632
KENTUCKY BANCSHARES INC,63165
KENTUCKY FIRST FEDERAL BNCRP,163069
KENTUCKY POWER,6397
KENTUCKY UTILITIES CO,25588
KEROS THERAPEUTICS INC,36328
KERYX BIOPHARMACEUTICALS INC,138126
KEURIG DR PEPPER INC,28877
KEWAUNEE SCIENTIFIC CORP,6410
KEWEENAW LAND ASSN LTD,18724
KEY ENERGY SERVICES INC,11644
KEY TECHNOLOGY INC,28641
KEY TRONIC CORP,6416
KEYCORP,9783
KEYSIGHT TECHNOLOGIES INC,20232
KEYUAN PETROCHEMICALS INC,185006
KEYW HOLDING CORP,185119
KFORCE INC,61179
KIDPIK CORP,39838
KIEWIT ROYALTY TRUST,134450
KILLBUCK BANCSHARES INC,66200
KILROY REALTY CORP,64306
KIMBALL ELECTRONICS INC,20692
KIMBALL INTERNATIONAL  -CL B,6433
KIMBELL ROYALTY PARTNERS LP,29760
KIMBERLY-CLARK CORP,6435
KIMCO REALTY CORP,24731
KINDER MORGAN INC,6310
KINDRED BIOSCIENCES INC,19143
KINDRED HEALTHCARE INC,17239
KINETA INC,37588
KINETIK HOLDINGS INC,34414
KINGOLD JEWELRY INC,184070
KINGSMEN CAPITAL GROUP LTD,170543
KINGSTONE COS INC,4485
KINSALE CAPITAL GROUP INC,27652
KIORA PHARMACEUTICALS INC,21282
KIPS BAY MEDICAL INC,184660
KIRBY CORP,6461
KIRIN INTERNATIONAL HLDG-OLD,186663
KIRKLAND'S INC,148391
KISH BANCORP INC,66201
KITE PHARMA INC,20643
KITE REALTY GROUP TRUST,266315
KIWIBOX COM INC,29577
KKR & CO INC,179741
KKR FINANCIAL HOLDINGS LLC,161000
KLA CORP,6304
KLEOPATRA HOLDING 2 SCA-REDH,29584
KLX ENERGY SERVS HLDNG,34055
KLX INC,22343
KMG CHEMICALS INC,64848
KNIGHT-SWIFT TRPTN HLDGS INC,30861
KNIGHTSCOPE INC,40672
KNOLL INC,64745
KNOWBE4 INC,38447
KNOWLES CORP,19518
KOHL'S CORP,25283
KOIL ENERGY SOLUTIONS INC,22010
KONA GRILL INC,164290
KONARED CORP,2626
KONTOOR BRANDS INC,35035
KOPIN CORP,25166
KOPPERS HOLDINGS INC,163113
KORE GROUP HOLDINGS INC,39804
KORN FERRY,118267
KORU MEDICAL SYSTEMS INC,13239
KOSS CORP,6497
KRAFT FOODS GROUP INC,12978
KRAFT HEINZ CO,5568
KRAIG BIOCRAFT LABORATORIES,179372
KRATON CORP,166230
KRATOS DEFENSE & SECURITY,126056
KREISLER MANUFACTURING CORP,6500
KRISPY KREME INC,133767
KROGER CO,6502
KRONOS WORLDWIDE INC,157354
KS BANCORP INC,29513
KUBIENT INC,36735
KULICKE & SOFFA INDUSTRIES,6509
KULR TECHNOLOGY GROUP,33557
KURA SUSHI USA INC,35423
KUSHCO HOLDINGS INC,26566
KVH INDUSTRIES INC,62549
KYMERA THERAPEUTIC INC,36819
KYNDRYL HOLDINGS INC,39963
L3 TECHNOLOGIES INC,110685
L3HARRIS TECHNOLOGIES INC,5492
LA JOLLA PHARMACEUTICAL CO,30281
LA-Z-BOY INC,6543
LABORATORY CP OF AMER HLDGS,14960
LACLEDE GAS CO,156655
LADENBURG THALMANN FINL SERV,65717
LADRX CORP,13184
LAIRD SUPERFOOD INC,36989
LAKE SHORE BANCORP INC,166197
LAKE SUNAPEE BANK GROUP,17076
LAKELAND BANCORP INC,109621
LAKELAND FINANCIAL CORP,18732
LAKELAND INDUSTRIES INC,12597
LAM RESEARCH CORP,6565
LAMAR ADVERTISING CO  -CL A,63422
LAMB WESTON HOLDINGS INC,28790
LANCASTER COLONY CORP,6573
LAND O'LAKES INC,148276
LANDAUER INC,14169
LANDMARK APRTMT TR INC -REDH,23993
LANDMARK BANCORP INC/KS,29946
LANDMARK INFRAST PRTNS LP,22124
LANDOS BIOPHARMA INC,37924
LANDS' END INC,19581
LANDSEA HOMES CORP,37713
LANDSTAR SYSTEM INC,21440
LANNETT CO INC,22632
LANTHEUS HOLDINGS INC,21004
LANTHEUS MEDICAL IMAGING INC,186497
LANTRONIX INC,138467
LAPOLLA INDUSTRIES INC,25198
LAPORTE BANCORP INC,178600
LAREDO OIL INC,183296
LAS VEGAS SANDS CORP,161844
LASALLE HOTEL PROPERTIES,109926
LASER PHOTONICS CORP,40645
LATCH INC,38953
LATHAM GROUP INC,38576
LATITUDE 360 INC,20775
LATTICE SEMICONDUCTOR CORP,16597
LAUREATE EDUCATION INC,26305
LAYNE CHRISTENSEN CO,25680
LAZYDAYS HOLDINGS INC,26218
LCI INDUSTRIES,11796
LCNB CORP,66210
LDR HOLDING CORP,18625
LEAF GROUP LTD,185703
LEAP THERAPEUTICS INC,29914
LEAPFROG ENTERPRISES INC,148410
LEAR CORP,16477
LEARNING TREE INTL INC,61662
LEATT CORP,164276
LEDYARD FINANCIAL GROUP INC,164934
LEE ENTERPRISES INC,6639
LEGACY EJY INC,39908
LEGACY HOUSING CORP,33733
LEGACY RESERVES INC,166436
LEGACY TEX FINANCIAL GRP INC,174313
LEGALZOOM.COM INC,39225
LEGG MASON INC,6653
LEGGETT & PLATT INC,6649
LEIDOS HOLDINGS INC,165123
LEMAITRE VASCULAR INC,174390
LEMONADE INC,36692
LENDINGCLUB CORP,19647
LENDINGTREE INC,180423
LENNAR CORP,6669
LENNOX INTERNATIONAL INC,122380
LENSAR INC,36929
LEO MOTORS INC,14874
LESAKA TECHNOLOGIES INC,65540
LESCARDEN INC,6677
LESLIE'S INC,37284
LEVEL 3 COMMUNICATIONS INC,13440
LEVEL ONE BANCORP INC,33272
LEVELBLOX INC,194855
LEVI STRAUSS & CO,16476
LEXICON PHARMACEUTICALS INC,133868
LEXMARK INTL INC  -CL A,61552
LG&E AND KU ENERGY LLC,14154
LGBTQ LOYALTY HOLDINGS INC,14865
LGI HOMES INC,18629
LGL GROUP INC,6848
LHC GROUP INC,162404
LIBBEY INC,28462
LIBERATOR MEDICAL HLDGS INC,164275
LIBERTY BANCORP INC,174470
LIBERTY BELL BANK,155584
LIBERTY BROADBAND CORP,21227
LIBERTY ENERGY CORP,176756
LIBERTY ENERGY INC,30284
LIBERTY EXPEDIA HOLDINGS INC,27054
LIBERTY INTERACTIVE -CONSOL,13684
LIBERTY MEDIA BRAVES GROUP,27186
LIBERTY MEDIA CORP -CONSOL,27189
LIBERTY MEDIA FORMULA ONE,27187
LIBERTY MEDIA SIRIUSXM GROUP,17010
LIBERTY PROPERTY TRUST,30354
LIBERTY TRIPADVISOR HOLDINGS,20699
LICT CORP,123435
LIFE FITNESS HLDG -SPN,34421
LIFE STORAGE INC,60914
LIFE TIME FITNESS INC,160183
LIFE TIME GRP HOLD INC,39648
LIFECORE BIOMEDL INC,62169
LIFELOC TECHNOLOGIES INC,187411
LIFELOCK INC,14032
LIFEMD INC,25472
LIFEPOINT HEALTH INC,120297
LIFESTAN HLTH GRP INC,38834
LIFETIME BRANDS INC,24099
LIFEVANTAGE CORP,25027
LIFEWAY FOODS INC,15087
LIGAND PHARMACEUTICAL INC,25937
LIGHT & WONDER INC,10991
LIGHTBRIDGE CORP,140982
LIGHTING SCIENCE GROUP CORP,25170
LIGHTNING EMOTORS INC,34459
LIGHTPATH TECHNOLOGIES INC,62217
LIGHTWAVE LOGIC INC,106233
LILIS ENERGY INC,186061
LILLY (ELI) & CO,6730
LIMBACH HOLDINGS INC,20517
LIME ENERGY CO,113530
LIMESTONE BANCORP INC,174301
LIMITLESS X HOLDINGS INC,66552
LIMONEIRA CO,29962
LINCOLN EDUCATIONAL SERVICES,163668
LINCOLN ELECTRIC HLDGS INC,6737
LINCOLN NATIONAL CORP,6742
LINDBLAD EXPEDITIONS HLDGS,24351
LINDSAY CORP,14954
LINEAGE CELL THERAPEUTICS IN,24996
LINEAR TECHNOLOGY CORP,12216
LINKBANCORP INC,36220
LINKEDIN CORP,186342
LINN ENERGY INC,164109
LIONBRIDGE TECHNOLOGIES INC,123016
LIPELLA PHARMACEUTICALS INC,41448
LIPOCINE INC,18424
LIQTECH INTERNATIONAL INC,188355
LIQUIDIA CORP,33810
LIQUIDITY SERVICES INC,166213
LIQUIDMETAL TECHNOLOGIES,146117
LISATA THERAPEUTICS INC,4632
LITHIA MOTORS INC  -CL A,64175
LITTELFUSE INC,25747
LITTLEFIELD CORP,31172
LIVE NATION ENTERTAINMENT,165746
LIVE OAK BANCSHARES INC,20299
LIVE VENTURES INC,66261
LIVENT CORP,34048
LIVEONE INC,187122
LIVEPERSON INC,133869
LIVERAMP HOLDINGS INC,2536
LIVEVOX HOLDING INC,39053
LIVEWIRE ERGOGENICS INC,189255
LIVING 3D HOLDINGS INC -OLD,199867
LIVONGO HEALTH INC,35394
LIXTE BIOTECHNOLOGY HOLDINGS,178291
LKA GOLD INC,15129
LKQ CORP,155394
LL FLOORING HOLDINGS INC,178806
LM FUNDING AMERICA INC,24901
LMI AEROSPACE INC,112034
LMP AUTOMOTIVE HOLDINGS INC,35358
LNB BANCORP INC,20297
LOANCORE REALTY TR INC -REDH,24003
LOANDEPOT INC,26297
LOCAL CORP,160798
LOCATION BASED TECHNOLOGIES,176752
LOCKHEED MARTIN CORP,6774
LOEWS CORP,6781
LOGAN RIDGE FINANCE CORP,18779
LOGICBIO THERAPEUTICS INC,34266
LOGICMARK INC,18490
LOGMEIN INC,179666
LOJACK CORP,12789
LONG BLOCKCHAIN CORP,24175
LONGEVERON INC,37807
LONGFIN CORP,32824
LOOKSMART GROUP INC,122917
LOOP MEDIA INC,39874
LORILLARD INC,147175
LOTTERY COM INC,40015
LOUISIANA BANCORP INC,177314
LOUISIANA-PACIFIC CORP,6821
LOUISVILLE GAS AND ELECTRIC,23465
LOVESAC CO (THE),33425
LOWE'S COS INC,6829
LOXO ONCOLOGY INC,21016
LOYALTY VENTURES INC,39962
LPATH INC,165745
LPL FINANCIAL HOLDINGS INC,178519
LRI HOLDINGS INC,61064
LRR ENERGY LP,187167
LSB INDUSTRIES INC,6528
LSC COMMUNICATIONS INC,27802
LSI INDUSTRIES INC,6527
LTC PROPERTIES INC,25665
LUBYS INC,6831
LUCID DIAGNOSTICS INC,39728
LUCID GROUP INC,39337
LUCIRA HEALTH INC,37840
LULU'S FASHION LOUN HOLD INC,39882
LULULEMON ATHLETICA INC,178015
LUMEN TECHNOLOGIES INC,2884
LUMENTUM HOLDINGS INC,23249
LUMINAR TECHNOLOGIES INC,37490
LUMINEX CORP,133504
LUMOS NETWORKS CORP,190959
LUMOS PHARMA INC,36333
LUNA INNOVATIONS INC,166583
LUTHER BURBANK CORP,32763
LUXURBAN HOTELS INC,40679
LXP INDUSTRIAL TRUST,29052
LYDALL INC,6845
LYELL IMMUNOPHARMA INC,38883
LYFT INC,34873
LYONS BANCORP INC,30140
LYRA THERAPEUTICS INC,36300
LYRIS INC,12734
M & T BANK CORP,4699
M&F BANCORP INC,18946
M-TRON INDUSTRIES INC,41420
M/I HOMES INC,12615
MABVAX THERAPEUTICS HLDGS,21082
MACATAWA BANK CORP,107325
MACE SECURITY INTL INC,29170
MACERICH CO,29868
MACKINAC FINANCIAL CORP,114880
MACOM TECHNLGY SOL HLDGS INC,187740
MACQUARIE INFRASTR HOLD LLC,161120
MACROGENICS INC,18658
MACY'S INC,4611
MADDEN STEVEN LTD,29382
MADISON GAS & ELECTRIC CO,156656
MADISON SQUARE GARD ENT,36309
MADISON SQUARE GARDEN SPORTS,24481
MAGELLAN HEALTH INC,2940
MAGELLAN MIDSTREAM PRTNRS LP,142230
MAGELLAN PETROLEUM CORP,6936
MAGNACHIP SEMICONDUCTOR CORP,233491
MAGNETEK INC,12581
MAGNITE INC,19753
MAGNOLIA OIL & GAS CORP,31252
MAGYAR BANCORP INC,165465
MAIN STREET CAPITAL CORP,178529
MAINSOURCE FINL GROUP INC,23111
MAINSTREET BANCSHARES INC,164724
MAJESCO,24937
MAJOR LEAGUE FOOTBALL INC,174738
MALACHITE INNOVATIONS INC,181970
MALAGA FINANCIAL CORP,62315
MALIBU BOATS INC,19391
MALVERN BANCORP INC,180109
MAM SOFTWARE GROUP INC,165911
MAMAMANCINI'S HOLDINGS INC,17494
MAMMOTH ENERGY SERVICES INC,21834
MANDIANT INC,18487
MANHATTAN ASSOCIATES INC,109826
MANHATTAN SCIENTIFICS INC,65991
MANITEX INTERNATIONAL INC,161843
MANITOWOC CO,6994
MANNATECH INC,112968
MANNING & NAPIER INC,189567
MANNKIND CORP,160340
MANPOWERGROUP,14370
MANTECH INTL CORP,146171
MARATHON DIGITAL HOLDNGS INC,4384
MARATHON OIL CORP,7017
MARATHON PETROLEUM CORP,186989
MARAVA LIFES HLDGS INC,37354
MARCHEX INC,157755
MARCUS & MILLICHAP INC,19000
MARCUS CORP,7022
MARIMED INC,21873
MARIN SOFTWARE INC,17376
MARINA BIOTECH INC -OLD,7694
MARINA DISTRICT FINANCE CO INC,265185
MARINE PETROLEUM TRUST,7034
MARINE PRODUCTS CORP,142546
MARINEMAX INC,111103
MARINUS PHARMACEUTICALS INC,20567
MARIZYME INC,184789
MARKEL CORP,12909
MARKER THERAPEUTICS INC,107843
MARKETAXESS HOLDINGS INC,158742
MARKETING ALLIANCE INC,151063
MARKETO INC,17693
MARKETWISE INC,39311
MARKFORGED HOLDING CORP,39250
MARKWEST ENERGY PARTNERS LP,148770
MARLIN BUSINESS SERVICES INC,156157
MARPAI INC,39598
MARQETA INC,38832
MARRIOTT INTL INC,28930
MARRIOTT VACATIONS WORLDWIDE,191255
MARRONE BIO INNOVTIONS,18270
MARSH & MCLENNAN COS,7065
MARTEN TRANSPORT LTD,12625
MARTHA STEWART LIVING OMNIMD,125237
MARTIN MARIETTA MATERIALS,29733
MARTIN MIDSTREAM PARTNERS LP,150201
MASCO CORP,7085
MASIMO CORP,177881
MASSIVE INTERACTIVE INC,161911
MAST THERAPEUTICS,63790
MASTEC INC,2497
MASTECH DIGITAL INC,180822
MASTERBRAND INC,41835
MASTERCARD INC,160225
MASTERCRAFT BOAT HLDNGS IN,24911
MATADOR RESOURCES CO,187812
MATCH GROUP INC,26061
MATCH GROUP INC -OLD,26381
MATERION CORP,2448
MATINAS BIOPHARMA HLDGS INC,20756
MATIV HOLDINGS INC,61519
MATRIX SERVICE CO,23195
MATSON INC,1254
MATTEL INC,7116
MATTERPORT INC,39323
MATTERSIGHT CORP,129840
MATTHEWS INTL CORP  -CL A,30477
MATTRESS FIRM HOLDING CORP,161036
MATTSON TECHNOLOGY INC,30710
MAUCH CHUNK TRUST FINL CORP,64085
MAUI LAND & PINEAPPLE CO,7117
MAVENIR SYSTEMS INC,18879
MAXCYTE INC,321429
MAXIM INTEGRATED PRODUCTS,14256
MAXIMUS INC,64901
MAXLINEAR INC,184551
MAXPOINT INTERACTIVE INC,23035
MAXWELL TECHNOLOGIES INC,7124
MAYS (J.W.) INC,7138
MAYVILLE ENGNERING CMPNY INC,35099
MB FINANCIAL INC/MD,31692
MBIA INC,13561
MBT BANCSHARES INC,21194
MBT FINANCIAL CORP,19057
MCAFEE CORP,37180
MCCLATCHY CO  -CL A,14163
MCCORMICK & CO INC,7146
MCDONALD'S CORP,7154
MCEWEN MINING INC,9728
MCG CAPITAL CORP,146114
MCGRATH RENTCORP,7161
MCGRAW-HILL EDUCATION  -REDH,12979
MCKESSON CORP,7171
MCRAE INDUSTRIES  -CL A,7179
MDC HOLDINGS INC,6865
MDU RESOURCES GROUP INC,6867
MEAD JOHNSON NUTRITION CO,180833
MEADOWBROOK INS GROUP INC,61589
MEADWESTVACO CORP,11446
MECHANICS BANK/CA,18948
MECKLERMEDIA CORP,121717
MEDALIST DIVRSFD REIT,34420
MEDALLIA INC,35374
MEDALLION FINANCIAL CORP,62919
MEDAMERICA PROPERTIES INC,13251
MEDASSETS INC,179027
MEDAVAIL HOLDINGS INC,37396
MEDEQUITIES REALTY TRUST INC,21867
MEDIA GENERAL INC,30950
MEDIAALPHA INC,37148
MEDIACO HOLDING INC,35583
MEDIACOM BROADBAND LLC,261215
MEDIACOM LLC,260329
MEDIAN GROUP INC,162292
MEDICAL MARIJUANA INC,157234
MEDICAL PROPERTIES TRUST,162160
MEDICINES CO (THE),138608
MEDICINOVA INC,162892
MEDIDATA SOLUTIONS INC,182308
MEDIFAST INC,29517
MEDIJANE HOLDINGS INC -OLD,186171
MEDITE CANCER DIAGNOSTICS,20133
MEDIVATION INC,164266
MEDIZONE INTL INC,21188
MEDLEY MANAGEMENT INC,21547
MEDOVEX CORP,22484
MEDPACE HOLDINGS INC,19998
MEET GROUP INC (THE),121662
MEGA MATRIX CORP,66301
MEI PHARMA INC,157865
MELINTA THERAPEUTICS INC,196856
MELROSE BANCORP INC,21990
MEMBERSHIP COLECTVE GRP,39068
MEMORIAL RESOURCE DEV CORP,20168
MENDOCINO BREWING CO INC,31550
MENLO THERAPEUTICS INC -OLD,32889
MENTOR GRAPHICS CORP,7251
MERCADOLIBRE INC,178081
MERCANTILE BANK CORP,65689
MERCER INTL INC,14563
MERCHANTS BANCORP,32619
MERCHANTS BANCSHARES INC/VT,16929
MERCHANTS FINANCIAL GROUP,21191
MERCK & CO,7257
MERCURY GENERAL CORP,17035
MERCURY SYSTEMS INC,66393
MEREDITH CORP,7260
MERGE HEALTHCARE INC,66630
MERIDIAN BANCORP INC (MD),179298
MERIDIAN BIOSCIENCE INC,12433
MERIDIAN CORP,32665
MERIDIANLINK INC,38748
MERION INC,22352
MERIT MEDICAL SYSTEMS INC,21777
MERITAGE HOMES CORP,14790
MERITAGE HOSPITALITY GROUP,13759
MERITOR INC,65399
MERRIMACK PHARMACEUTICALS,187631
MERRIMAN HOLDINGS INC,115077
MERSANA THRPEUTIC INC,31628
MERU NETWORKS INC,184057
MESA AIR GROUP,33962
MESA LABORATORIES INC,7275
MESA ROYALTY TRUST,7277
MESABI TRUST,7279
META MATERIALS INC,39108
META PLATFORMS INC,170617
METALDYNE PERFORMANCE GROUP,21845
METALICO INC,160474
METASTAT INC,170912
METHES ENERGIES INTL LTD,12005
METHODE ELECTRONICS INC,7291
METLIFE INC,133768
METRO BANCORP INC,30640
METROCITY BANKSHARES INC,27111
METROMILE INC,38050
METROPOLITAN BANK HLDNG,32519
METROPOLITAN EDISON,7302
METROPOLITAN LIFE INSURANCE,20477
METTLER-TOLEDO INTL INC,65772
MEXCO ENERGY CORP,7309
MEXUS GOLD US,177969
MGC DIAGNOSTICS CORP,14581
MGE ENERGY INC,6932
MGIC INVESTMENT CORP/WI,24379
MGM GROWTH PROPERTIES LLC,27045
MGM HOLDINGS INC,187422
MGM RESORTS INTERNATIONAL,14418
MGO GLOBAL INC,41884
MGP INGREDIENTS INC,14891
MGT CAPITAL INVESTMENTS INC,63337
MICHAEL JAMES ENTERPRISES,12031
MICHAELS COS INC,7316
MICHIGAN CONSOLIDATED GAS CO,15305
MICREL INC,31147
MICROCHIP TECHNOLOGY INC,27965
MICRON SOLUTIONS INC,22144
MICRON TECHNOLOGY INC,7343
MICROPAC INDUSTRIES INC,7344
MICROPHASE CORP -REDH,27734
MICROS SYSTEMS INC,7331
MICROSEMI CORP,7346
MICROSOFT CORP,12141
MICROSTRATEGY INC,111534
MICROVAST HOLDINGS INC,39338
MICROVISION INC,63531
MICROWAVE FILTER CO INC,7350
MICT INC,160555
MID PENN BANCORP INC,66288
MID-AMERICA APT CMNTYS INC,29649
MID-CON ENERGY PARTNERS -LP,187810
MID-SOUTHERN BANCORP INC,107423
MIDAMERICAN ENERGY CO,65298
MIDAMERICAN FUNDING LLC,13428
MIDCAP FINANCIAL INVSMT CORP,266257
MIDCOAST ENERGY PARTNERS LP,19104
MIDDLEBURG FINANCIAL CORP,65610
MIDDLEBY CORP,13570
MIDDLEFIELD BANC CORP,139705
MIDDLESEX WATER CO,7368
MIDLAND STATES BANCORP INC,187236
MIDSOUTH BANCORP INC,28152
MIDSTATES PETROLEUM CO INC,170627
MIDWEST ENERGY EMISSIONS CP,187548
MIDWESTONE FINANCIAL GROUP,65796
MIKROS SYSTEMS CORP,7389
MILACRON HOLDINGS CORP,23569
MILESTONE SCIENTIFIC INC,61496
MILL CITY VENTURES III LTD,182501
MILLENNIAL MEDIA INC,170458
MILLENNIUM HEALTHCARE INC,31394
MILLER ENERGY RESOURCES INC,66228
MILLER INDUSTRIES INC,7402
MILLER INDUSTRIES INC/TN,30558
MILLERKNOLL INC,7401
MIMEDX GROUP INC,178157
MIND TECHNOLOGY INC,31214
MINDBODY INC,23935
MINDEN BANCORP INC,149361
MINERALS TECHNOLOGIES INC,25870
MINERCO INC,182479
MINERVA NEUROSCIENCES INC,20225
MINERVA SURGICAL INC,39753
MINES MANAGEMENT INC,22650
MINIM INC,183666
MINK THERAPEUTICS INC,39642
MIRION TECHNOLOGIES INC,39935
MIROMATRIX MEDICAL INC,38917
MIRUM PHARMACEUTICALS INC,35375
MISONIX INC,24890
MISSION BANCORP/CA,117845
MISSION PRODUCE INC,37019
MISSISSIPPI POWER CO,7450
MISTER CAR WASH INC,38936
MISTRAS GROUP INC,180229
MITEK SYSTEMS INC,14113
MIX 1 LIFE INC,187956
MKS INSTRUMENTS INC,119275
MMA CAPITAL HOLDINGS,63541
MMRGLOBAL INC,266319
MOBETIZE CORP,16143
MOBILE MINI INC,29734
MOBILEBITS HOLDINGS CORP,184522
MOBILEIRON INC,20330
MOBILESMITH INC,163018
MOBILEYE GLOBAL INC,41640
MOBIQUITY TECHNOLOGIES INC,163850
MOCON INC,7481
MODEL N INC,17553
MODERNA INC,34410
MODINE MANUFACTURING CO,7486
MODIVCARE INC,154758
MOELIS & CO,19927
MOHAWK INDUSTRIES INC,25119
MOHEGAN GAMING & ENTERTMNT,125194
MOLECULAR TEMPLATES,32267
MOLEKULE GROUP INC,40323
MOLINA HEALTHCARE INC,152149
MOLSON COORS BEVERAGE CO,3505
MOLSON COORS CDA INC,162940
MOLYCORP INC,7509
MOMENTA PHARMACEUTICALS INC,264414
MOMENTIVE GLOBAL INC,34140
MOMENTUS INC,39427
MONAKER GROUP INC,179447
MONARCH CASINO & RESORT INC,28704
MONARCH CEMENT CO,7512
MONARCH FINANCIAL HLDGS INC,154595
MONDELEZ INTERNATIONAL INC,142953
MONEYGRAM INTERNATIONAL INC,5342
MONEYLION INC,39752
MONEYONMOBILE INC,182554
MONGODB INC,32526
MONMOUTH RE INVESTMENT CP,7525
MONOGRAM RESIDENTIAL TRUST,21073
MONOLITHIC POWER SYSTEMS INC,160888
MONONGAHELA POWER,7533
MONOTYPE IMAGING HOLDINGS,177099
MONRO INC,24350
MONROE CAPITAL CORP,16066
MONSANTO CO,140760
MONSTER ARTS,16459
MONSTER BEVERAGE CORP,24316
MONSTER DIGITAL INC -OLD,26514
MONSTER WORLDWIDE INC,64156
MONTAGE RESOURCES CORP,20513
MONTAUK RENEWABLES INC,37672
MONTROSE ENV GROUP INC,36718
MOODY'S CORP,139665
MOOG INC  -CL A,7549
MORGAN GROUP HOLDING CO,147352
MORGAN STANLEY,12124
